Group,Quarter_Num,Sunset_GPA,A_share,B_share,C_share,DF_share,RMP_Difficulty,RMP_Quality,RMP_Review_Count,CAPES_Study_Hours,CAPES_GPA,CAPES_Count
Engineering,2020.75,76.74171523151793,0.5751789976133651,0.21539379474940334,0.09725536992840096,0.11217183770883055,3.8333333333333335,2.5476190476190474,42,,,
Engineering,2021.0,113.64313927810888,0.6844031531531531,0.21368243243243243,0.060810810810810814,0.04110360360360361,3.736842105263158,2.9298245614035086,57,8.557083333333333,3.3180555555555555,144.0
Engineering,2021.25,95.71989468970216,0.6226884779516358,0.2670697012802276,0.08250355618776671,0.027738264580369845,3.8,2.75,60,8.675069444444444,3.4635416666666665,144.0
Engineering,2021.75,241.1107379289305,0.5553840216132767,0.2552425061108967,0.10279171491058793,0.08658175736523864,3.311111111111111,3.7333333333333334,45,,,
Engineering,2022.0,295.3835872422256,0.5962704390960867,0.23369465368363035,0.09608671688407129,0.07394819033621165,3.8289473684210527,2.8421052631578947,76,8.244962406015038,3.2027067669172933,133.0
Engineering,2022.25,326.93776311373387,0.45809336162473474,0.33676871779327067,0.12526523188845104,0.0798726886935435,3.8085106382978724,3.0,94,8.308346456692915,3.21503937007874,127.0
Engineering,2022.75,658.899505587574,0.58355389248882,0.24272154786894223,0.10107693711782423,0.07264762252441362,3.707317073170732,3.0,41,,,
Engineering,2023.0,803.3685353550388,0.5784607554851844,0.2612531101560733,0.10291789187966524,0.05736824247907713,3.7083333333333335,3.3541666666666665,48,8.240158730158731,3.2384126984126986,126.0
Engineering,2023.25,778.5153742308948,0.5546740557094939,0.24623012979437073,0.12156919935831996,0.07752661513781538,3.77027027027027,2.7432432432432434,74,8.521044776119403,3.2020895522388058,134.0
Engineering,2023.75,1243.568287542287,0.5809767036252648,0.24706199908641668,0.11127029608404966,0.06069100120426892,3.513157894736842,2.5789473684210527,76,,,
Engineering,2024.0,858.3555214225356,0.5785818612726321,0.2396174938683275,0.11687381155785818,0.06492683330118224,3.607142857142857,3.0952380952380953,84,,,
Engineering,2024.25,634.7654943704853,0.558006411234926,0.24755762479010837,0.1237597313387269,0.07067623263623875,3.3768115942028984,3.3768115942028984,69,,,
Engineering,2024.75,1073.9436660966778,0.6566497929130235,0.2151403589507593,0.07982052462034055,0.048389323515876666,3.1,3.2,80,,,
Engineering,2025.0,1033.1732469918138,0.6325108225108225,0.21668831168831168,0.08857142857142856,0.06222943722943723,3.7518248175182483,3.0145985401459856,137,,,
Engineering,2025.25,755.9620819684674,0.6182854216018951,0.23109674114860107,0.08297586273128882,0.06764197451821499,3.6218487394957983,2.9411764705882355,119,,,
Engineering,2025.75,712.8227826674698,0.5766873046036903,0.30377612946729604,0.07500153252007602,0.044535033408937656,3.1443298969072164,3.268041237113402,97,,,
Languages & Linguistics,2019.75,6.694545454545455,0.4462809917355372,0.36363636363636365,0.1322314049586777,0.05785123966942149,2.3333333333333335,4.333333333333333,6,,,
Languages & Linguistics,2020.0,3.7,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.0,2.6,4.5,10,4.637377049180328,3.5537704918032786,61.0
Languages & Linguistics,2020.25,11.2,0.8260869565217391,0.08695652173913043,0.08695652173913043,0.0,2.6666666666666665,4.777777777777778,9,4.659800000000001,3.5488,50.0
Languages & Linguistics,2020.75,11.181795366795367,0.8662790697674418,0.06976744186046512,0.03488372093023256,0.029069767441860465,2.7333333333333334,4.866666666666666,15,,,
Languages & Linguistics,2021.0,11.128030303030302,0.7192982456140351,0.22807017543859648,0.05263157894736842,0.0,2.375,4.625,8,5.0307272727272725,3.6332727272727277,55.0
Languages & Linguistics,2021.25,11.123657793819085,0.6891891891891891,0.20270270270270271,0.08108108108108109,0.02702702702702703,2.7142857142857144,4.714285714285714,7,5.284313725490196,3.6423529411764703,51.0
Languages & Linguistics,2021.75,21.571515343126162,0.6050955414012739,0.2643312101910828,0.0732484076433121,0.05732484076433121,3.0,4.9,10,,,
Languages & Linguistics,2022.0,24.28776834420245,0.5844155844155844,0.22077922077922077,0.13636363636363635,0.05844155844155844,2.7222222222222223,4.277777777777778,18,5.2171875,3.50984375,64.0
Languages & Linguistics,2022.25,28.66639511346403,0.6924034869240349,0.20921544209215442,0.07098381070983811,0.0273972602739726,2.5,4.625,8,5.130681818181818,3.494545454545454,44.0
Languages & Linguistics,2022.75,52.277576470646224,0.5333333333333333,0.2863247863247863,0.13418803418803418,0.046153846153846156,2.2857142857142856,4.428571428571429,14,,,
Languages & Linguistics,2023.0,62.32926836329518,0.5791433891992551,0.2756052141527002,0.08845437616387337,0.056797020484171325,2.1666666666666665,4.333333333333333,12,4.975438596491228,3.5300000000000002,57.0
Languages & Linguistics,2023.25,28.03910662372688,0.6127562642369021,0.2437357630979499,0.11389521640091116,0.029612756264236904,2.625,4.875,8,4.815909090909091,3.470681818181818,44.0
Languages & Linguistics,2023.75,92.43474695288806,0.6092132505175983,0.2246376811594203,0.12888198757763975,0.037267080745341616,2.5,4.35,20,,,
